,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,centroid_lat,centroid_lon,city,avg_d_speed_mbps,avg_u_speed_mbps
0,91528,94732,4,1,1,27.569156145893004,27.567443847656254,Qaşr al Farāfirah,91.528,94.732
1,76459,64054,17,1,1,27.134924080409245,27.92449951171875,Qaşr al Farāfirah,76.459,64.054
2,24891,15299,13,7,3,27.0615716654914,27.875061035156254,Qaşr al Farāfirah,24.891,15.299
3,36193,56719,14,4,2,27.066463321036053,27.891540527343743,Qaşr al Farāfirah,36.193,56.719
4,101906,80136,11,10,2,27.0615716654914,27.891540527343743,Qaşr al Farāfirah,101.906,80.136
5,19036,3546,19,3,2,27.0615716654914,27.968444824218743,Qaşr al Farāfirah,19.036,3.546
6,2456,3851,26,1,1,27.066463321036053,27.973937988281254,Qaşr al Farāfirah,2.456,3.851
7,1537,1885,19,1,1,31.52470269762965,30.78643798828125,Disūq,1.537,1.885
8,1691,341,155,5,1,31.4497533952062,30.62164306640625,Rosetta,1.691,0.341
9,3032,362,24,1,1,31.4497533952062,30.627136230468757,Rosetta,3.032,0.362
10,24689,3138,53,8,2,31.398190934401203,30.75897216796875,Disūq,24.689,3.138
11,14098,4639,142,7,1,31.365363703206,30.764465332031246,Disūq,14.098,4.639
12,5366,7242,28,1,1,31.365363703206,30.76995849609375,Disūq,5.366,7.242
13,3542,636,24,9,2,31.365363703206,30.802917480468743,Disūq,3.542,0.636
14,3129,504,94,2,1,31.355982387456148,30.80291748046875,Disūq,3.129,0.504
15,6762,454,93,1,1,31.365363703206,30.912780761718743,Kafr ash Shaykh,6.762,0.454
16,8997,3859,28,1,1,31.360673162351247,30.907287597656246,Kafr ash Shaykh,8.997,3.859
17,9114,2392,11,2,2,31.355982387456148,30.912780761718757,Kafr ash Shaykh,9.114,2.392
18,12806,834,16,9,2,31.360673162351247,30.934753417968743,Kafr ash Shaykh,12.806,0.834
19,4944,159,37,1,1,31.32783282434585,30.583190917968757,Disūq,4.944,0.159
20,11413,1556,25,12,1,31.32783282434585,30.58868408203125,Disūq,11.413,1.556
21,3110,515,292,3,1,31.332525003067644,30.605163574218757,Disūq,3.11,0.515
22,3201,652,34,7,1,31.318447765216497,30.59967041015625,Disūq,3.201,0.652
23,37011,4846,7,1,1,31.332525003067644,30.671081542968743,Disūq,37.011,4.846
24,1296,309,199,44,2,31.29498102515189,30.61065673828125,Disūq,1.296,0.309
25,801,346,99,2,1,31.2902869757706,30.61614990234375,Disūq,0.801,0.346
26,8681,1052,78,5,2,31.285592692646244,30.621643066406254,Disūq,8.681,1.052
27,6028,372,77,1,1,31.2996748407702,30.67108154296875,Disūq,6.028,0.372
28,5110,691,28,2,1,31.285592692646244,30.632629394531246,Disūq,5.11,0.691
29,5748,923,32,6,1,31.285592692646244,30.63812255859375,Disūq,5.748,0.923
30,17018,2934,6,1,1,31.28089817579865,30.63262939453125,Disūq,17.018,2.934
31,8169,1121,24,3,3,31.28089817579865,30.63812255859375,Disūq,8.169,1.121
32,3132,314,179,3,1,31.285592692646244,30.64910888671876,Disūq,3.132,0.314
33,8536,441,24,7,1,31.28089817579865,30.64361572265625,Disūq,8.536,0.441
34,4509,698,92,22,3,31.28089817579865,30.64910888671875,Disūq,4.509,0.698
35,5042,1762,62,7,1,31.29498102515189,30.67108154296875,Disūq,5.042,1.762
36,4319,401,278,2,1,31.285592692646244,30.654602050781246,Disūq,4.319,0.401
37,20720,4241,15,32,3,31.34660013562405,30.693054199218757,Disūq,20.72,4.241
38,7593,370,72,7,2,31.34660013562405,30.715026855468757,Disūq,7.593,0.37
39,5512,1548,22,1,1,31.34190865872655,30.715026855468743,Disūq,5.512,1.548
40,51966,14250,6,1,1,31.32783282434585,30.68756103515625,Disūq,51.966,14.25
41,2405,769,40,1,1,31.32783282434585,30.704040527343743,Disūq,2.405,0.769
42,1273,989,28,1,1,31.318447765216497,30.70953369140625,Disūq,1.273,0.989
43,5111,578,19,2,1,31.32783282434585,30.73699951171875,Disūq,5.111,0.578
44,2165,406,52,1,1,31.318447765216497,30.74798583984375,Disūq,2.165,0.406
45,10477,3262,89,4,1,31.318447765216497,30.753479003906246,Disūq,10.477,3.262
46,1603,886,91,1,1,31.318447765216497,30.75897216796875,Disūq,1.603,0.886
47,7612,259,52,2,1,31.3137548848486,30.687561035156254,Disūq,7.612,0.259
48,4452,787,28,1,1,31.2996748407702,30.70953369140625,Disūq,4.452,0.787
49,18374,2642,12,10,7,31.2902869757706,30.67657470703125,Disūq,18.374,2.642
50,11103,844,23,4,1,31.2902869757706,30.682067871093757,Disūq,11.103,0.844
51,10919,677,240,6,1,31.28089817579865,30.68206787109375,Disūq,10.919,0.677
52,10147,598,187,3,3,31.285592692646244,30.687561035156254,Disūq,10.147,0.598
53,7097,2579,107,6,2,31.28089817579865,30.687561035156246,Disūq,7.097,2.579
54,4292,761,43,21,4,31.28089817579865,30.693054199218743,Disūq,4.292,0.761
55,20638,2095,10,3,1,31.29498102515189,30.704040527343757,Disūq,20.638,2.095
56,3881,2822,7,2,1,31.2902869757706,30.70404052734375,Disūq,3.881,2.822
57,4571,834,269,4,1,31.3137548848486,30.736999511718757,Disūq,4.571,0.834
58,7211,155,28,1,1,31.3090617706384,30.73699951171875,Disūq,7.211,0.155
59,8774,2512,107,14,5,31.3137548848486,30.742492675781246,Disūq,8.774,2.512
60,9046,719,280,34,4,31.3090617706384,30.74249267578125,Disūq,9.046,0.719
61,1077,365,45,2,2,31.3137548848486,30.758972167968757,Disūq,1.077,0.365
62,21176,2570,15,19,1,31.2996748407702,30.747985839843757,Disūq,21.176,2.57
63,14851,2162,9,3,2,31.2902869757706,30.75897216796875,Disūq,14.851,2.162
64,9526,11584,20,1,1,31.285592692646244,30.75897216796875,Disūq,9.526,11.584
65,9142,1691,15,5,2,31.28089817579865,30.75897216796875,Disūq,9.142,1.691
66,6598,1990,120,2,2,31.271508441013246,30.588684082031254,Disūq,6.598,1.99
67,3252,398,29,8,1,31.262117771573557,30.59417724609375,Disūq,3.252,0.398
68,11574,2103,20,6,3,31.2527261676388,30.60516357421875,Disūq,11.574,2.103
69,25343,4608,10,6,1,31.248030015285604,30.621643066406246,Disūq,25.343,4.608
70,9685,883,35,21,8,31.27620342524765,30.638122558593743,Disūq,9.685,0.883
71,13515,669,19,5,1,31.271508441013246,30.632629394531246,Disūq,13.515,0.669
72,2229,75,25,1,1,31.27620342524765,30.64361572265625,Disūq,2.229,0.075
73,4045,445,26,2,1,31.27620342524765,30.64910888671875,Disūq,4.045,0.445
74,902,308,113,3,1,31.27620342524765,30.65460205078125,Disūq,0.902,0.308
75,13083,2873,16,3,2,31.2292430704323,30.588684082031254,Disūq,13.083,2.873
76,24315,1456,10,2,1,31.238637009907144,30.621643066406254,Disūq,24.315,1.456
77,10685,1268,23,11,3,31.2245457504586,30.621643066406246,Disūq,10.685,1.268
78,1835,388,51,1,1,31.219848197020653,30.610656738281254,Disūq,1.835,0.388
79,24886,4865,11,1,1,31.21515041013845,30.627136230468743,Disūq,24.886,4.865
80,2731,2589,146,2,1,31.233940156921804,30.64910888671875,Disūq,2.731,2.589
81,1366,142,148,1,1,31.2292430704323,30.643615722656246,Disūq,1.366,0.142
82,4205,305,99,1,1,31.2292430704323,30.64910888671875,Disūq,4.205,0.305
83,7493,751,8,1,1,31.238637009907144,30.65460205078125,Disūq,7.493,0.751
84,4521,1937,54,30,4,31.233940156921804,30.660095214843757,Disūq,4.521,1.937
85,30174,3599,7,2,1,31.219848197020653,30.67108154296875,Disūq,30.174,3.599
86,8148,1389,27,1,1,31.266813223115246,30.676574707031254,Disūq,8.148,1.389
87,32392,11884,7,3,2,31.266813223115246,30.682067871093743,Disūq,32.392,11.884
88,28568,4304,5,4,3,31.262117771573557,30.67657470703125,Disūq,28.568,4.304
89,12695,748,91,14,3,31.262117771573557,30.68206787109375,Disūq,12.695,0.748
90,11868,1076,28,5,3,31.266813223115246,30.687561035156254,Disūq,11.868,1.076
91,8449,1817,40,59,6,31.271508441013246,30.71502685546875,Disūq,8.449,1.817
92,15485,2633,15,4,2,31.2527261676388,30.69854736328125,Disūq,15.485,2.633
93,1005,774,20,2,1,31.2527261676388,30.709533691406246,Disūq,1.005,0.774
94,10455,860,25,9,1,31.2527261676388,30.71502685546875,Disūq,10.455,0.86
95,5164,866,21,3,1,31.248030015285604,30.70953369140625,Disūq,5.164,0.866
96,4134,612,123,3,1,31.271508441013246,30.72601318359375,Disūq,4.134,0.612
97,5720,682,15,2,1,31.27620342524765,30.747985839843743,Disūq,5.72,0.682
98,6310,908,25,4,2,31.27620342524765,30.753479003906246,Disūq,6.31,0.908
99,4697,8285,168,37,2,31.262117771573557,30.753479003906246,Disūq,4.697,8.285
100,4353,11010,26,1,1,31.2527261676388,30.720520019531254,Disūq,4.353,11.01
101,6054,7456,18,1,1,31.25742208640809,30.758972167968757,Disūq,6.054,7.456
102,6238,7058,19,1,1,31.2527261676388,30.753479003906254,Disūq,6.238,7.058
103,6067,8035,28,1,1,31.248030015285604,30.75897216796875,Disūq,6.067,8.035
104,775,121,80,1,1,31.2292430704323,30.715026855468743,Disūq,0.775,0.121
105,18399,2424,16,17,8,31.219848197020653,30.676574707031246,Disūq,18.399,2.424
106,10614,1472,37,39,9,31.219848197020653,30.68206787109375,Disūq,10.614,1.472
107,12303,2068,31,23,3,31.21515041013845,30.68206787109375,Disūq,12.303,2.068
108,9127,1324,10,1,1,31.210452389832,30.69305419921875,Disūq,9.127,1.324
109,23503,4279,23,10,5,31.21515041013845,30.698547363281246,Disūq,23.503,4.279
110,23480,3887,9,11,2,31.21515041013845,30.70404052734375,Disūq,23.48,3.887
111,7441,814,27,1,1,31.210452389832,30.70404052734375,Disūq,7.441,0.814
112,10521,576,9,2,2,31.210452389832,30.709533691406254,Disūq,10.521,0.576
113,17025,3506,14,7,4,31.233940156921804,30.742492675781254,Disūq,17.025,3.506
114,3650,2864,17,5,1,31.238637009907144,30.75347900390625,Disūq,3.65,2.864
115,8372,2383,18,183,2,31.233940156921804,30.75897216796875,Disūq,8.372,2.383
116,7872,500,64,1,1,31.21515041013845,30.72052001953125,Disūq,7.872,0.5
117,862,713,222,4,1,31.210452389832,30.72052001953125,Disūq,0.862,0.713
118,395,169,457,2,1,31.351291378540505,30.769958496093743,Disūq,0.395,0.169
119,2902,505,18,1,1,31.351291378540505,30.80291748046875,Disūq,2.902,0.505
120,23507,3077,19,13,3,31.34660013562405,30.802917480468757,Disūq,23.507,3.077
121,17395,3294,10,6,1,31.34190865872655,30.797424316406254,Disūq,17.395,3.294
122,16872,2117,39,66,11,31.34190865872655,30.802917480468757,Disūq,16.872,2.117
123,17804,2538,19,11,8,31.3372169478678,30.802917480468757,Disūq,17.804,2.538
124,31743,718,19,4,1,31.318447765216497,30.77545166015625,Disūq,31.743,0.718
125,24956,4818,6,1,1,31.332525003067644,30.78643798828125,Disūq,24.956,4.818
126,12416,1997,18,10,3,31.332525003067644,30.80291748046875,Disūq,12.416,1.997
127,28338,2710,16,4,1,31.318447765216497,30.802917480468743,Disūq,28.338,2.71
